Wall time,Step,Value
1682634066.156096,4000,-158.0119171142578
1682634076.779576,8000,-170.60769653320312
1682634087.15837,12000,-176.81298828125
1682634096.893298,16000,-185.71954345703125
1682634107.388831,20000,-202.0140838623047
1682634117.724798,24000,-200.82687377929688
1682634127.666618,28000,-176.14195251464844
1682634137.940628,32000,-130.70281982421875
1682634148.298704,36000,-69.29777526855469
1682634158.461816,40000,-47.39155578613281
1682634168.8153899,44000,-48.344966888427734
1682634179.20801,48000,-49.488521575927734
1682634189.666035,52000,-46.347801208496094
1682634199.8041751,56000,-43.088356018066406
1682634210.401672,60000,-42.78791427612305
1682634220.8070002,64000,-48.71846008300781
1682634231.136714,68000,-49.885536193847656
1682634241.752192,72000,-52.118865966796875
1682634252.3628879,76000,-50.544517517089844
1682634263.0697138,80000,-50.648075103759766
1682634273.508288,84000,-49.9140739440918
1682634283.846486,88000,-50.574073791503906
1682634294.215639,92000,-51.02473068237305
1682634305.096179,96000,-49.64175796508789
1682634315.464319,100000,-54.50175857543945
1682634325.965667,104000,-49.986732482910156
1682634336.295126,108000,-49.769718170166016
1682634346.7843242,112000,-45.7758674621582
1682634356.900204,116000,-46.770137786865234
1682634367.244489,120000,-45.91770553588867
1682634377.7686982,124000,-41.577701568603516
1682634387.9224389,128000,-40.962520599365234
1682634398.136375,132000,-39.668792724609375
1682634408.330397,136000,-45.96879577636719
1682634418.552654,140000,-49.411983489990234
1682634429.054301,144000,-51.031982421875
1682634439.276462,148000,-49.5570182800293
1682634450.014209,152000,-52.965030670166016
1682634460.40186,156000,-53.2599983215332
1682634470.491333,160000,-53.84000015258789
1682634480.7000508,164000,-50.7599983215332
1682634491.033758,168000,-48.900001525878906
1682634501.189504,172000,-49.08000183105469
1682634511.555955,176000,-49.119998931884766
1682634521.726812,180000,-50.79999923706055
1682634531.812574,184000,-52.2599983215332
1682634542.154617,188000,-56.65999984741211
1682634552.262975,192000,-57.099998474121094
1682634562.625338,196000,-46.959999084472656
1682634572.740644,200000,-42.31999969482422
