Wall time,Step,Value
1682638603.9418309,4000,-159.77737426757812
1682638614.336415,8000,-159.10975646972656
1682638624.692405,12000,-195.08782958984375
1682638634.974067,16000,-222.87603759765625
1682638645.247,20000,-223.77037048339844
1682638655.719467,24000,-185.79644775390625
1682638666.211065,28000,-192.2440185546875
1682638676.390395,32000,-189.35855102539062
1682638686.547244,36000,-159.4918975830078
1682638696.354722,40000,-147.15780639648438
1682638706.652046,44000,-110.165771484375
1682638717.17371,48000,-71.62287139892578
1682638727.396308,52000,-47.272117614746094
1682638737.760083,56000,-47.0163459777832
1682638748.039179,60000,-50.083805084228516
1682638758.200516,64000,-46.33018493652344
1682638768.404144,68000,-48.05425262451172
1682638778.786719,72000,-47.832923889160156
1682638789.09919,76000,-47.050819396972656
1682638799.441897,80000,-49.27513122558594
1682638809.7936902,84000,-51.142242431640625
1682638820.0748742,88000,-51.687034606933594
1682638830.330147,92000,-51.807037353515625
1682638840.7538528,96000,-52.365665435791016
1682638851.0283442,100000,-46.905662536621094
1682638861.547341,104000,-49.880001068115234
1682638871.8885891,108000,-47.16389083862305
1682638882.0585768,112000,-46.963890075683594
1682638892.501007,116000,-46.5
1682638902.822001,120000,-48.720001220703125
1682638913.094823,124000,-47.28483581542969
1682638923.5932748,128000,-46.72483444213867
1682638933.94645,132000,-44.704833984375
1682638944.329372,136000,-50.29999923706055
1682638954.694247,140000,-49.91999816894531
1682638965.4655218,144000,-47.907997131347656
1682638976.035706,148000,-44.52799987792969
1682638986.367054,152000,-47.36436080932617
1682638996.626375,156000,-48.1043586730957
1682639007.060202,160000,-48.884361267089844
1682639017.414827,164000,-46.040000915527344
1682639028.296184,168000,-44.720001220703125
1682639038.5827851,172000,-43.040000915527344
1682639048.998434,176000,-49.880001068115234
1682639059.275073,180000,-52.79999923706055
1682639069.884277,184000,-44.84000015258789
1682639080.1868641,188000,-44.720001220703125
1682639090.559558,192000,-41.720001220703125
1682639100.9798138,196000,-43.225341796875
1682639111.609791,200000,-42.08534240722656
