Wall time,Step,Value
1682637595.803359,4000,-157.9966278076172
1682637606.330522,8000,-169.4908905029297
1682637616.838954,12000,-185.3719940185547
1682637627.051011,16000,-213.9099578857422
1682637637.286436,20000,-202.90814208984375
1682637647.4683552,24000,-199.24539184570312
1682637657.219615,28000,-150.9720458984375
1682637667.0112362,32000,-137.66607666015625
1682637677.1577861,36000,-118.41507720947266
1682637687.2001789,40000,-115.24981689453125
1682637697.303164,44000,-114.1310043334961
1682637707.44056,48000,-113.47022247314453
1682637717.39725,52000,-113.1515121459961
1682637727.435519,56000,-113.24224853515625
1682637737.5754602,60000,-113.45442199707031
1682637747.8799171,64000,-113.262451171875
1682637758.16355,68000,-113.16480255126953
1682637768.11259,72000,-112.76983642578125
1682637778.019146,76000,-112.80967712402344
1682637788.175232,80000,-113.3134536743164
1682637798.143702,84000,-113.8571548461914
1682637808.054019,88000,-113.53772735595703
1682637818.947988,92000,-113.09609985351562
1682637830.031656,96000,-112.94078826904297
1682637840.170806,100000,-112.84493255615234
1682637850.302069,104000,-113.18558502197266
1682637860.660918,108000,-112.97972869873047
1682637870.9400089,112000,-113.44629669189453
1682637880.889483,116000,-113.56765747070312
1682637890.964589,120000,-113.87476348876953
1682637900.460325,124000,-112.66084289550781
1682637910.547918,128000,-112.47908020019531
1682637920.505839,132000,-112.45333099365234
1682637930.4622238,136000,-113.24092864990234
1682637940.885065,140000,-112.89546966552734
1682637950.8707469,144000,-112.988037109375
1682637960.7466261,148000,-113.30448150634766
1682637970.871116,152000,-114.20392608642578
1682637980.946131,156000,-113.78118133544922
1682637990.834256,160000,-113.23605346679688
1682638000.706134,164000,-113.11056518554688
1682638010.806232,168000,-113.21752166748047
1682638020.9915771,172000,-113.35708618164062
1682638031.096062,176000,-113.31560516357422
1682638040.950176,180000,-113.07705688476562
1682638050.896021,184000,-113.36257934570312
1682638060.96084,188000,-113.62252044677734
1682638071.059802,192000,-113.39628601074219
1682638081.190683,196000,-113.15477752685547
1682638091.166771,200000,-113.30724334716797
