Wall time,Step,Value
1682633552.4540749,4000,-181.57257080078125
1682633562.849823,8000,-193.43557739257812
1682633573.1920052,12000,-185.22921752929688
1682633583.432269,16000,-202.8957977294922
1682633593.723805,20000,-228.33651733398438
1682633604.121519,24000,-215.81338500976562
1682633614.020119,28000,-238.3520965576172
1682633623.773071,32000,-231.2147216796875
1682633633.578929,36000,-154.66937255859375
1682633643.716012,40000,-122.62042236328125
1682633653.84688,44000,-76.20738983154297
1682633663.9750881,48000,-56.478981018066406
1682633674.340406,52000,-49.4769287109375
1682633684.606973,56000,-51.66341781616211
1682633694.7630908,60000,-49.263450622558594
1682633704.9148002,64000,-47.88755798339844
1682633715.360946,68000,-45.15257263183594
1682633725.969446,72000,-38.86007308959961
1682633736.272574,76000,-37.606510162353516
1682633746.5494862,80000,-43.933780670166016
1682633756.880461,84000,-46.92091369628906
1682633767.087203,88000,-49.61101531982422
1682633777.319135,92000,-47.22393035888672
1682633787.733084,96000,-45.254207611083984
1682633797.932296,100000,-41.83420944213867
1682633808.207445,104000,-45.79813003540039
1682633818.619644,108000,-47.474002838134766
1682633828.682194,112000,-50.281368255615234
1682633838.7681909,116000,-51.55739212036133
1682633848.93633,120000,-47.682838439941406
1682633859.34799,124000,-44.38251876831055
1682633869.671704,128000,-44.864959716796875
1682633879.9467242,132000,-47.9352912902832
1682633890.1597388,136000,-49.529266357421875
1682633900.603578,140000,-45.83213806152344
1682633910.947247,144000,-45.42799758911133
1682633921.267023,148000,-39.0
1682633931.5300639,152000,-41.400001525878906
1682633941.70496,156000,-48.52000045776367
1682633951.900764,160000,-49.043643951416016
1682633962.1538901,164000,-48.383644104003906
1682633972.368319,168000,-48.84364318847656
1682633982.69398,172000,-47.040000915527344
1682633992.9739032,176000,-47.119998931884766
1682634003.256336,180000,-48.47999954223633
1682634013.4610329,184000,-45.18000030517578
1682634023.6927412,188000,-45.36000061035156
1682634033.9198022,192000,-46.20317840576172
1682634044.0824618,196000,-48.663177490234375
1682634054.237589,200000,-48.283180236816406
