Wall time,Step,Value
1682689627.863916,16384,-125.00365447998047
1682689677.808257,32768,-124.57994079589844
1682689727.6020548,49152,-123.4281997680664
1682689777.7640908,65536,-122.64134979248047
1682689828.1625228,81920,-121.8952865600586
1682689878.6654332,98304,-119.01634979248047
1682689928.985749,114688,-116.85919189453125
1682689980.679075,131072,-113.37080383300781
1682690030.529678,147456,-108.08551788330078
1682690086.1213639,163840,-104.15973663330078
1682690142.788105,180224,-97.5751724243164
1682690202.431801,196608,-91.03721618652344
1682690252.77115,212992,-84.75604248046875
