Wall time,Step,Value
1682693586.7202501,16384,-124.68630981445312
1682693641.773331,32768,-125.9896469116211
1682693693.6751502,49152,-122.92948913574219
1682693741.654593,65536,-121.9699935913086
1682693791.639912,81920,-120.82295989990234
1682693839.3997939,98304,-119.05142211914062
1682693888.294894,114688,-116.48036193847656
1682693936.975801,131072,-111.79119873046875
1682693988.927607,147456,-110.41909790039062
1682694038.5328598,163840,-102.2691879272461
1682694088.308249,180224,-95.70866394042969
1682694137.761041,196608,-91.29153442382812
1682694186.634769,212992,-86.82489013671875
