Wall time,Step,Value
1682688749.7917929,16384,-124.70295715332031
1682688797.3197901,32768,-123.15520477294922
1682688845.3603232,49152,-123.5947036743164
1682689096.128072,65536,-122.63103485107422
1682689146.672081,81920,-120.01691436767578
1682689195.04992,98304,-118.86316680908203
1682689242.829443,114688,-117.29150390625
1682689290.430201,131072,-114.5423812866211
1682689343.871451,147456,-107.57176971435547
1682689392.039652,163840,-103.05349731445312
1682689440.737419,180224,-97.84188842773438
1682689489.553849,196608,-93.1157455444336
1682689575.040997,212992,-86.46623992919922
