Wall time,Step,Value
1682690301.682261,16384,-125.7179183959961
1682690350.890412,32768,-134.6583251953125
1682690398.288228,49152,-123.88664245605469
1682690445.568461,65536,-122.39706420898438
1682690499.404948,81920,-120.0241470336914
1682690549.134092,98304,-119.08158111572266
1682690599.3180852,114688,-114.97440338134766
1682690651.172498,131072,-115.2254867553711
1682690703.3743172,147456,-108.76283264160156
1682690755.0156438,163840,-103.12565612792969
1682690804.285682,180224,-98.92668914794922
1682690854.353028,196608,-90.96943664550781
1682690902.610755,212992,-85.89445495605469
