Wall time,Step,Value
1682691592.269268,16384,-126.25494384765625
1682691638.734692,32768,-125.09918975830078
1682691690.864662,49152,-123.65872192382812
1682691741.0203588,65536,-122.63927459716797
1682691790.316948,81920,-121.66971588134766
1682691837.7099378,98304,-120.75593566894531
1682691885.078511,114688,-119.53870391845703
1682691932.3782551,131072,-115.5181655883789
1682691997.008029,147456,-112.81423950195312
1682692046.2102752,163840,-105.91144561767578
1682692095.657994,180224,-104.97949981689453
1682692144.580241,196608,-95.12124633789062
1682692206.155978,212992,-87.18372344970703
