Wall time,Step,Value
1682717961.720209,16384,-169.0458526611328
1682718308.513833,32768,-157.1598663330078
1682718655.317739,49152,-213.6851806640625
1682719002.0669188,65536,-157.37046813964844
1682719348.686542,81920,-183.66952514648438
1682719573.61548,98304,-188.43402099609375
1682719627.680813,114688,-148.97021484375
1682719676.499871,131072,-223.45513916015625
1682719725.1360059,147456,-202.8451385498047
1682719773.471168,163840,-200.6842041015625
1682719821.95927,180224,-201.11712646484375
1682719872.649746,196608,-174.88502502441406
1682719924.363214,212992,-161.75921630859375
