Wall time,Step,Value
1682726961.532966,16384,-168.7059783935547
1682727010.316274,32768,-167.6806640625
1682727059.853251,49152,-166.43951416015625
1682727108.668802,65536,-165.00660705566406
1682727157.3747761,81920,-211.0802001953125
1682727205.770726,98304,-190.52713012695312
1682727254.180949,114688,-197.4193878173828
1682727302.9171011,131072,-190.20726013183594
1682727351.455772,147456,-188.82015991210938
1682727399.846503,163840,-186.49566650390625
1682727448.0971231,180224,-203.66119384765625
1682727496.3022468,196608,-193.86831665039062
1682727545.4678578,212992,-192.67771911621094
