Wall time,Step,Value
1684106017.8981152,16384,-84.98218536376953
1684106065.9057531,32768,-86.40970611572266
1684106113.9174058,49152,-86.89330291748047
1684106161.918699,65536,-82.38909149169922
1684106209.7398431,81920,-85.5846939086914
1684106260.415601,98304,-81.29348754882812
1684106311.60514,114688,-81.90911865234375
1684106360.243381,131072,-77.47093963623047
1684106408.565376,147456,-77.37415313720703
1684106456.8391712,163840,-75.37256622314453
1684106511.073643,180224,-73.51284790039062
1684106563.3258991,196608,-70.10987091064453
1684106617.349806,212992,-68.59078979492188
