Wall time,Step,Value
1684105388.5166879,16384,-86.7870101928711
1684105436.8435998,32768,-84.2404556274414
1684105484.737578,49152,-86.30699920654297
1684105533.339335,65536,-83.12012481689453
1684105581.105102,81920,-80.57576751708984
1684105630.567106,98304,-78.48888397216797
1684105678.492299,114688,-77.46002197265625
1684105726.3230479,131072,-78.88082885742188
1684105774.442261,147456,-73.53900146484375
1684105822.951055,163840,-71.32064819335938
1684105871.087988,180224,-69.14665222167969
1684105919.263134,196608,-68.51200866699219
1684105968.127502,212992,-66.68795776367188
