Wall time,Step,Value
1684102060.296893,16384,-86.40029907226562
1684102108.864227,32768,-85.25153350830078
1684102157.7811332,49152,-85.53620910644531
1684102208.443514,65536,-84.04891967773438
1684102267.063723,81920,-80.90316772460938
1684102321.194239,98304,-80.30924987792969
1684102377.1115851,114688,-78.14530944824219
1684102431.3534951,131072,-77.1595458984375
1684102484.8597171,147456,-72.68154907226562
1684102539.293314,163840,-73.43820190429688
1684102592.639373,180224,-69.95606231689453
1684102646.719001,196608,-69.17150115966797
1684102701.4676101,212992,-66.3321304321289
