Wall time,Step,Value
1684030510.140269,4000,-69.966552734375
1684030520.646108,8000,-70.07655334472656
1684030530.980247,12000,-69.82144927978516
1684030541.225705,16000,-68.07453918457031
1684030551.7049332,20000,-64.26729583740234
1684030562.343733,24000,-60.962215423583984
1684030572.927638,28000,-59.02265548706055
1684030583.622978,32000,-60.116119384765625
1684030594.303355,36000,-58.83668899536133
1684030604.649804,40000,-57.946834564208984
1684030615.850763,44000,-52.794612884521484
1684030627.213828,48000,-32.1472282409668
1684030638.255161,52000,-16.3472843170166
1684030648.952132,56000,-16.115007400512695
1684030659.007914,60000,-12.071941375732422
1684030668.637718,64000,2.599430799484253
1684030678.461304,68000,-1.7678794860839844
1684030688.350595,72000,-9.029513359069824
1684030698.6440718,76000,-5.358073711395264
1684030708.771869,80000,-7.2599029541015625
1684030718.561996,84000,-3.507214307785034
1684030728.355009,88000,4.793167591094971
1684030738.262491,92000,9.191058158874512
1684030748.0470579,96000,11.400046348571777
1684030757.863471,100000,10.536970138549805
1684030767.632961,104000,17.98834800720215
1684030777.305215,108000,7.239828586578369
1684030787.0064828,112000,-6.561949253082275
1684030796.699195,116000,-6.640264987945557
1684030806.3874922,120000,-10.237046241760254
1684030816.099526,124000,-3.146329641342163
1684030825.9169989,128000,-7.161172389984131
1684030835.713702,132000,3.3928749561309814
1684030845.417922,136000,7.488930702209473
1684030855.118571,140000,0.010021819733083248
1684030864.74834,144000,-10.718430519104004
1684030874.556664,148000,-7.351268768310547
1684030884.272668,152000,-14.583813667297363
1684030894.522912,156000,-18.602741241455078
1684030907.6094248,160000,-16.602521896362305
1684031943.0383308,164000,-13.119253158569336
1684031952.9207501,168000,-2.0050103664398193
1684031962.76773,172000,-1.3046478033065796
1684031972.633261,176000,7.596918106079102
1684031982.3186529,180000,2.7313382625579834
1684031992.570004,184000,8.664294242858887
1684032003.015488,188000,7.30075216293335
1684032013.5950642,192000,-0.39482632279396057
1684032024.450041,196000,-3.2713351249694824
1684032035.587688,200000,10.737015724182129
