Wall time,Step,Value
1684025654.178082,4000,-75.29875183105469
1684025664.238534,8000,-73.68310546875
1684025674.211055,12000,-74.86198425292969
1684025684.2049868,16000,-73.26493072509766
1684025694.296674,20000,-74.0244369506836
1684025704.567633,24000,-71.8836441040039
1684025714.7682402,28000,-69.06684112548828
1684025724.973397,32000,-59.55149459838867
1684025735.339056,36000,-49.929988861083984
1684025745.5994408,40000,-48.88264465332031
1684025755.918015,44000,-50.19683074951172
1684025766.0391722,48000,-50.73774337768555
1684025776.156117,52000,-48.536746978759766
1684025786.915002,56000,-40.61304473876953
1684025798.156456,60000,-37.36255645751953
1684025808.45548,64000,-39.785526275634766
1684025818.6410291,68000,-42.447998046875
1684025828.717765,72000,-42.22103500366211
1684025838.828897,76000,-42.43929672241211
1684025848.825821,80000,-49.885684967041016
1684025858.9585652,84000,-48.80134201049805
1684025869.252477,88000,-41.391136169433594
1684025879.397367,92000,-42.760799407958984
1684025889.384734,96000,-50.92853546142578
1684025899.4857721,100000,-50.11265563964844
1684025909.5301518,104000,-48.32722473144531
1684025919.620785,108000,-46.544158935546875
1684025929.821101,112000,-43.582149505615234
1684025940.0840588,116000,-46.09800720214844
1684025950.2522292,120000,-50.210758209228516
1684025960.426642,124000,-49.930755615234375
1684025970.885362,128000,-44.38970184326172
1684025981.2464068,132000,-38.7296257019043
1684025991.4887328,136000,-40.807552337646484
1684026001.569719,140000,-42.22673034667969
1684026011.505641,144000,-54.883995056152344
1684026021.637484,148000,-49.54460906982422
1684026031.707871,152000,-42.9673957824707
1684026041.8070989,156000,-35.90794372558594
1684026051.977638,160000,-41.26862716674805
1684026061.962862,164000,-43.90480422973633
1684026071.931149,168000,-49.127742767333984
1684026082.068893,172000,-48.80360412597656
1684026092.113156,176000,-44.863731384277344
1684026102.144189,180000,-37.941226959228516
1684026112.433168,184000,-36.72126007080078
1684026122.588615,188000,-42.23884201049805
1684026132.7474859,192000,-42.3825569152832
1684026142.7445009,196000,-47.78215789794922
1684026154.23223,200000,-49.47850036621094
