Wall time,Step,Value
1684092842.481071,16384,-72.5926742553711
1684092890.195093,32768,-74.19092559814453
1684092938.2889369,49152,-70.4976577758789
1684092985.620404,65536,-67.74989318847656
1684093033.0726259,81920,-65.06938171386719
1684093080.6366029,98304,-66.07881164550781
1684093128.449225,114688,-63.75422286987305
1684093176.124757,131072,-60.854896545410156
1684093223.90353,147456,-59.035438537597656
1684093271.74241,163840,-59.117984771728516
1684093320.126268,180224,-55.825958251953125
1684093368.55884,196608,-51.82582092285156
1684093418.4480052,212992,-52.4053840637207
