Wall time,Step,Value
1684090347.708439,16384,-75.6225357055664
1684090395.547981,32768,-72.19993591308594
1684090443.461897,49152,-70.29393768310547
1684090491.182789,65536,-68.72858428955078
1684090538.952286,81920,-66.81723022460938
1684090586.665438,98304,-64.9940414428711
1684090634.41654,114688,-64.8883056640625
1684090682.193856,131072,-62.25442886352539
1684090729.936783,147456,-60.28325271606445
1684090777.674061,163840,-57.68560028076172
1684090825.4497821,180224,-53.7183952331543
1684090873.623441,196608,-52.85295867919922
1684090921.511174,212992,-50.851585388183594
