Wall time,Step,Value
1683950463.8708422,400,-81.90955352783203
1683950467.966727,800,-74.76729583740234
1683950471.9761899,1200,-79.17932891845703
1683950476.02632,1600,-76.21958923339844
1683950480.066585,2000,-76.45777130126953
1683950484.153198,2400,-72.93927001953125
1683950488.168592,2800,-74.62939453125
1683950492.243219,3200,-72.69844055175781
1683950496.2883599,3600,-73.62390899658203
1683950500.342468,4000,-72.55690002441406
1683950504.409122,4400,-73.23998260498047
1683950508.440935,4800,-72.62366485595703
1683950512.510432,5200,-71.54695892333984
1683950516.555331,5600,-71.28821563720703
1683950520.5699909,6000,-71.79258728027344
1683950524.561467,6400,-72.71405792236328
1683950528.557129,6800,-72.80876922607422
1683950532.619591,7200,-72.94720458984375
1683950536.639485,7600,-73.28173065185547
1683950540.6436439,8000,-73.37349700927734
1683950544.681948,8400,-73.31048583984375
1683950548.734675,8800,-72.88687133789062
1683950552.758181,9200,-73.346923828125
1683950556.759739,9600,-73.80537414550781
1683950560.764513,10000,-73.82011413574219
1683950564.801858,10400,-73.51549530029297
1683950568.864349,10800,-73.75328826904297
1683950572.881713,11200,-73.09992218017578
1683950576.912834,11600,-72.79953002929688
1683950580.903981,12000,-72.78617858886719
1683950584.954431,12400,-73.70124053955078
1683950589.018423,12800,-72.67149353027344
1683950593.0598662,13200,-73.44445037841797
1683950597.122494,13600,-73.45967102050781
1683950601.146268,14000,-73.97698974609375
1683950605.198281,14400,-73.2096939086914
1683950609.227322,14800,-73.42323303222656
1683950613.2684119,15200,-73.78914642333984
1683950617.3040571,15600,-74.05010986328125
1683950621.358745,16000,-73.44631958007812
1683950625.371938,16400,-72.56196594238281
1683950629.366258,16800,-72.95761108398438
1683950633.433735,17200,-72.50357055664062
1683950637.451207,17600,-72.05755615234375
1683950641.500397,18000,-71.62753295898438
1683950645.524674,18400,-71.75736236572266
1683950649.570178,18800,-72.02275848388672
1683950653.603599,19200,-71.96859741210938
1683950657.606635,19600,-71.63432312011719
1683950661.593106,20000,-71.72381591796875
1683950665.610516,20400,-71.40974426269531
1683950669.6367,20800,-71.58228302001953
1683950673.6386309,21200,-71.60010528564453
1683950677.660644,21600,-72.48992919921875
1683950681.705739,22000,-72.28616333007812
1683950685.744617,22400,-72.1266098022461
1683950689.742962,22800,-72.86898803710938
1683950693.778731,23200,-72.6123046875
1683950697.7964249,23600,-71.89850616455078
1683950701.8495731,24000,-71.9237060546875
1683950705.854892,24400,-72.86581420898438
1683950709.9010649,24800,-73.01142120361328
1683950713.865746,25200,-73.85803985595703
1683950717.8653052,25600,-73.95262908935547
1683950721.936741,26000,-74.17514038085938
1683950725.971117,26400,-74.63864135742188
1683950729.998092,26800,-74.32276153564453
1683950734.015262,27200,-74.84449768066406
1683950737.988671,27600,-75.35099792480469
1683950742.021612,28000,-76.28096008300781
1683950746.045587,28400,-76.1251449584961
1683950750.059807,28800,-76.1268539428711
1683950754.0613382,29200,-75.66641998291016
1683950758.052779,29600,-75.60755157470703
1683950762.111518,30000,-75.19863891601562
1683950766.104971,30400,-75.7157974243164
1683950770.141429,30800,-75.52397918701172
1683950774.2003012,31200,-75.89250183105469
1683950778.29141,31600,-75.25310516357422
1683950782.319147,32000,-75.84375
1683950786.355776,32400,-76.04829406738281
1683950790.420491,32800,-75.64110565185547
1683950794.5529191,33200,-75.4348373413086
1683950798.627936,33600,-75.85212707519531
1683950802.723233,34000,-76.02229309082031
1683950806.74735,34400,-76.05577850341797
1683950810.799664,34800,-75.81982421875
1683950814.8087711,35200,-75.46390533447266
1683950818.825175,35600,-75.21571350097656
1683950822.876106,36000,-75.23080444335938
1683950826.882762,36400,-75.26346588134766
1683950830.8932312,36800,-75.22295379638672
1683950834.949405,37200,-74.74842071533203
1683950839.0100212,37600,-74.4407730102539
1683950843.0484412,38000,-73.84286499023438
1683950847.10709,38400,-73.79951477050781
1683950851.1317,38800,-73.70365905761719
1683950855.181281,39200,-73.76774597167969
1683950859.2351758,39600,-73.7348403930664
1683950863.2834492,40000,-74.19096374511719
1683950867.393908,40400,-74.36839294433594
1683950871.419055,40800,-74.33919525146484
1683950875.4257522,41200,-74.20922088623047
1683950879.4655108,41600,-74.49266815185547
1683950883.477546,42000,-73.77222442626953
1683950887.4747021,42400,-73.4612808227539
1683950891.544437,42800,-73.5785140991211
1683950895.6051042,43200,-73.64097595214844
1683950899.645926,43600,-73.63745880126953
1683950903.640909,44000,-73.77899932861328
1683950907.6435032,44400,-73.48726654052734
1683950911.654013,44800,-74.14519500732422
1683950915.695798,45200,-73.77497863769531
1683950919.73702,45600,-74.20964813232422
1683950923.741065,46000,-74.94847869873047
1683950927.794896,46400,-75.0361328125
1683950931.8525498,46800,-75.35009002685547
1683950935.945982,47200,-75.11040496826172
1683950940.183915,47600,-74.8529281616211
1683950944.278837,48000,-74.229248046875
1683950948.31059,48400,-74.28948974609375
1683950952.321595,48800,-74.89618682861328
1683950956.369198,49200,-75.17939758300781
1683950960.5483809,49600,-75.05915069580078
1683950964.710803,50000,-75.01009368896484
1683950969.14372,50400,-73.64047241210938
1683950973.5847192,50800,-71.86451721191406
1683950977.850812,51200,-70.42403411865234
1683950982.1763232,51600,-69.43780517578125
1683950986.448805,52000,-69.03169250488281
1683950990.865064,52400,-69.06790161132812
1683950995.237449,52800,-68.65235900878906
1683950999.5983691,53200,-68.41641998291016
1683951003.895554,53600,-67.92434692382812
1683951008.260202,54000,-66.35853576660156
1683951012.553995,54400,-64.48829650878906
1683951016.8386939,54800,-62.7612190246582
1683951021.390025,55200,-62.1124382019043
1683951025.7709382,55600,-60.590553283691406
1683951030.1233668,56000,-58.812931060791016
1683951034.5876899,56400,-57.98599624633789
1683951039.0545979,56800,-57.37314224243164
1683951043.3245912,57200,-57.427818298339844
1683951047.658846,57600,-57.37739944458008
1683951051.968818,58000,-57.63013458251953
1683951056.2924318,58400,-57.359092712402344
1683951060.620687,58800,-56.301025390625
1683951065.0598578,59200,-55.84502410888672
1683951069.558672,59600,-55.34175109863281
1683951073.96613,60000,-54.35111999511719
1683951078.4316852,60400,-54.19232940673828
1683951082.8394399,60800,-55.51376724243164
1683951087.204339,61200,-55.379798889160156
1683951091.5149078,61600,-55.38486862182617
1683951095.765048,62000,-54.064453125
1683951100.057562,62400,-51.7124137878418
1683951104.334572,62800,-51.0505485534668
1683951108.517071,63200,-49.50373458862305
1683951112.7275572,63600,-48.20176315307617
1683951117.0170848,64000,-45.30430603027344
1683951121.2570581,64400,-44.500450134277344
1683951125.4557078,64800,-42.491859436035156
1683951129.739105,65200,-41.17230987548828
1683951133.9304059,65600,-40.3516731262207
1683951138.073138,66000,-39.58736038208008
1683951142.28238,66400,-38.14420700073242
1683951146.5671349,66800,-35.39059066772461
1683951150.832028,67200,-33.78168869018555
1683951155.0961149,67600,-30.893747329711914
1683951159.366113,68000,-28.155921936035156
1683951163.6324658,68400,-25.711711883544922
1683951167.844435,68800,-23.22804069519043
1683951172.048776,69200,-21.34857940673828
1683951176.288817,69600,-18.825403213500977
1683951180.536226,70000,-16.49388313293457
1683951184.8045802,70400,-13.666546821594238
1683951188.9754848,70800,-12.585444450378418
1683951193.240018,71200,-10.970199584960938
1683951197.445629,71600,-9.034133911132812
1683951201.736353,72000,-7.171037197113037
1683951205.920299,72400,-7.918690204620361
1683951210.141602,72800,-6.883428573608398
1683951214.389475,73200,-6.249292373657227
1683951218.6420019,73600,-5.223625183105469
1683951222.931309,74000,-6.941828727722168
1683951227.1058612,74400,-7.677105903625488
1683951231.355422,74800,-7.556398868560791
1683951235.586823,75200,-6.454334259033203
1683951239.8418,75600,-4.570788383483887
1683951244.05833,76000,-4.486286640167236
1683951248.264388,76400,-5.297767162322998
1683951252.5080588,76800,-5.768304347991943
1683951256.726708,77200,-5.371201515197754
1683951260.968522,77600,-5.760266304016113
1683951265.253747,78000,-6.32138729095459
1683951269.4547951,78400,-6.836601734161377
1683951273.752216,78800,-6.60990047454834
1683951278.014112,79200,-6.473214626312256
1683951282.24992,79600,-8.245750427246094
1683951286.553675,80000,-9.94305419921875
1683951290.812521,80400,-12.995702743530273
1683951295.041388,80800,-12.787849426269531
1683951299.318348,81200,-13.117962837219238
1683951303.596129,81600,-13.422784805297852
