Wall time,Step,Value
1682673056.34254,16384,-81.3451919555664
1682673107.272984,32768,-79.36451721191406
1682673157.446528,49152,-78.89073944091797
1682673207.292065,65536,-77.92398834228516
1682673257.033337,81920,-75.60282135009766
1682673307.386195,98304,-77.20012664794922
1682673357.808369,114688,-73.8282241821289
1682673407.4362,131072,-69.64009094238281
1682673457.1182332,147456,-67.76696014404297
1682673507.155652,163840,-68.37228393554688
1682673557.400342,180224,-65.72610473632812
1682673607.568835,196608,-64.45988464355469
1682673659.6112242,212992,-61.1773567199707
