Wall time,Step,Value
1682669158.169718,16384,-82.15202331542969
1682669207.615673,32768,-80.04795837402344
1682669256.930298,49152,-79.50428009033203
1682669306.171812,65536,-78.61334991455078
1682669355.4238138,81920,-76.11742401123047
1682669404.9641411,98304,-73.79297637939453
1682669455.941257,114688,-72.84268188476562
1682669506.187626,131072,-70.18525695800781
1682669556.4345798,147456,-68.64212799072266
1682669606.3272681,163840,-65.93537902832031
1682669656.296106,180224,-63.8390998840332
1682669706.293728,196608,-63.2879753112793
1682669756.070633,212992,-60.9423942565918
