Wall time,Step,Value
1682667863.824215,16384,-82.89164733886719
1682667913.251447,32768,-81.3326187133789
1682667962.628944,49152,-80.15470886230469
1682668011.956316,65536,-78.1984634399414
1682668061.262401,81920,-74.7847671508789
1682668111.343615,98304,-72.86932373046875
1682668160.836815,114688,-71.10223388671875
1682668210.487842,131072,-74.24283599853516
1682668260.261947,147456,-67.02336120605469
1682668310.174353,163840,-66.79080200195312
1682668360.1046069,180224,-62.93226623535156
1682668409.826433,196608,-59.6512451171875
1682668460.046981,212992,-58.214019775390625
