Wall time,Step,Value
1682662646.600786,16384,-80.84658813476562
1682662701.072591,32768,-82.44263458251953
1682662752.133384,49152,-75.40068054199219
1682662801.913098,65536,-78.54335021972656
1682662851.796261,81920,-75.5654067993164
1682662906.5730538,98304,-74.5842056274414
1682662956.7256162,114688,-72.1524887084961
1682663006.913117,131072,-70.78194427490234
1682663057.184831,147456,-70.01569366455078
1682663107.7495968,163840,-66.85913848876953
1682663157.9093251,180224,-63.8289909362793
1682663207.938766,196608,-63.247318267822266
1682663258.062901,212992,-58.663978576660156
