Wall time,Step,Value
1682666558.754596,16384,-81.92403411865234
1682666608.578665,32768,-78.1066665649414
1682666658.12359,49152,-79.4691390991211
1682666707.6591601,65536,-76.34412384033203
1682666757.199157,81920,-74.67790985107422
1682666806.932137,98304,-75.54611206054688
1682666856.729474,114688,-70.29511260986328
1682666907.805634,131072,-69.41529083251953
1682666957.771449,147456,-68.32077026367188
1682667008.924803,163840,-66.39718627929688
1682667059.767679,180224,-63.86350631713867
1682667110.114849,196608,-62.10747146606445
1682667160.215009,212992,-59.186214447021484
