Wall time,Step,Value
1682674360.4680388,16384,-82.8183364868164
1682674410.098925,32768,-82.33248901367188
1682674459.808278,49152,-77.22334289550781
1682674509.63826,65536,-76.6424789428711
1682674559.079493,81920,-74.42894744873047
1682674608.685057,98304,-75.51964569091797
1682674658.4159958,114688,-74.52137756347656
1682674708.1540852,131072,-70.99410247802734
1682674757.9185169,147456,-69.90227508544922
1682674807.8806841,163840,-66.14636993408203
1682674858.269075,180224,-66.00090026855469
1682674908.944604,196608,-60.24991226196289
1682674960.370243,212992,-57.94614791870117
