Wall time,Step,Value
1684069364.836243,4000,-83.93104553222656
1684069375.386421,8000,-85.27661895751953
1684069385.894367,12000,-87.29890441894531
1684069396.419469,16000,-88.07217407226562
1684069406.93017,20000,-86.0592269897461
1684069417.468267,24000,-85.42832946777344
1684069428.0882502,28000,-85.74606323242188
1684069438.6852689,32000,-84.69230651855469
1684069449.479636,36000,-82.8989486694336
1684069460.1383538,40000,-80.62835693359375
1684069470.85279,44000,-80.09268188476562
1684069481.561975,48000,-79.8075942993164
1684069492.3266501,52000,-81.08712768554688
1684069503.5975292,56000,-79.00604248046875
1684069514.2978811,60000,-69.39802551269531
1684069524.58335,64000,-51.8059196472168
1684069534.870497,68000,-25.10595703125
1684069545.012678,72000,-9.8056058883667
1684069555.224716,76000,-10.492841720581055
1684069565.3339431,80000,-9.209792137145996
1684069575.2705548,84000,-16.403682708740234
1684069585.507493,88000,-15.241259574890137
1684069595.5509021,92000,-9.581283569335938
1684069605.6751091,96000,-8.265048027038574
1684069615.9053068,100000,-11.464051246643066
1684069626.078141,104000,-10.064911842346191
1684069636.3000078,108000,0.2593260705471039
1684069646.401747,112000,-6.124105453491211
1684069656.5126421,116000,-8.203845024108887
1684069666.5164642,120000,-13.087475776672363
1684069676.6279109,124000,-6.2520060539245605
1684069686.784624,128000,-5.672935962677002
1684069696.851916,132000,-5.988967418670654
1684069706.934703,136000,-4.927550792694092
1684069717.0564291,140000,-0.6181381940841675
1684069727.392582,144000,10.452692985534668
1684069737.672739,148000,8.093637466430664
1684069747.71798,152000,-4.687300205230713
1684069757.803993,156000,-13.929710388183594
1684069767.94206,160000,-10.956098556518555
1684069777.975007,164000,-21.628433227539062
1684069788.165698,168000,-13.808688163757324
1684069798.432746,172000,-13.630317687988281
1684069808.442252,176000,-9.108760833740234
1684069818.533737,180000,-11.620683670043945
1684069828.803662,184000,3.3770627975463867
1684069838.954446,188000,11.499530792236328
1684069849.063668,192000,10.072890281677246
1684069859.225558,196000,3.700091600418091
1684069869.424748,200000,3.7721612453460693
