Wall time,Step,Value
1684631215.546784,16384,-82.12074279785156
1684631268.360835,32768,-80.02960205078125
1684631321.317578,49152,-78.00079345703125
1684631374.3832471,65536,-77.01322937011719
1684631427.4346602,81920,-76.21379089355469
1684631480.113438,98304,-74.51557922363281
1684631532.9893398,114688,-73.3520736694336
1684631586.311897,131072,-67.31108093261719
1684631639.8874922,147456,-68.36404418945312
1684631693.345108,163840,-66.51082611083984
1684631746.736952,180224,-65.34268951416016
1684631800.108298,196608,-61.277748107910156
1684631850.8190029,212992,-61.00105285644531
1684631900.660254,229376,-55.617061614990234
1684631950.364361,245760,-54.75811004638672
1684632000.3905861,262144,-50.236228942871094
1684632050.138793,278528,-48.8422737121582
1684632099.9445682,294912,-49.3338623046875
1684632149.910701,311296,-47.21757888793945
1684632199.8034391,327680,-45.5042724609375
1684632249.704884,344064,-42.04450607299805
1684632299.83269,360448,-40.706050872802734
1684632349.825723,376832,-40.67843246459961
1684632399.639117,393216,-40.06602096557617
1684632449.591956,409600,-36.646488189697266
1684632499.693203,425984,-35.7545051574707
1684632550.393863,442368,-33.44624710083008
1684632600.787935,458752,-33.94760513305664
1684632650.821128,475136,-32.465484619140625
1684632700.8500638,491520,-31.453134536743164
1684632751.461761,507904,-31.749406814575195
1684632801.468699,524288,-28.48218536376953
1684632852.200639,540672,-27.803234100341797
1684632902.6320279,557056,-25.17709732055664
1684632952.539834,573440,-26.277009963989258
1684633002.5079548,589824,-25.519834518432617
1684633052.368839,606208,-28.13019561767578
1684633102.608115,622592,-24.848072052001953
1684633152.6845691,638976,-26.962791442871094
1684633203.0141819,655360,-23.8387393951416
1684633252.937403,671744,-22.665163040161133
1684633302.870817,688128,-21.694456100463867
1684633353.025751,704512,-21.78687286376953
1684633403.007736,720896,-20.088281631469727
1684633453.0244422,737280,-20.379554748535156
1684633504.308758,753664,-17.482620239257812
1684633554.394517,770048,-19.16642189025879
1684633604.331265,786432,-18.20218276977539
1684633654.3667042,802816,-15.543618202209473
